msn,oracle_30min_mape,oracle_1h_mape,oracle_4h_mape,v3_backtest_mape,bundle_mape
50143025,38.0352491170143,37.93672399169773,26.5724870355252,65.73,13.76
50154700,29.725929698565402,21.50516149088211,14.03310388258804,37.37,5.23
50186364,83.74411326336725,42.6794606473689,17.39847818425117,92.16,52.24
51057607,53.28178406317006,55.397839125499345,21.162761101203714,61.73,12.67
53401842,27.38872888409332,22.557003391156183,23.792057736980645,54.45,15.24
53401885,50.97904939114575,49.839510323126746,22.161005324711475,74.32,7.84
53403416,31.732042790364684,24.881652982755178,21.042206322039092,64.93,14.77
53407938,16.500307087562884,13.591481054401584,8.80311643887147,22.03,3.19
53408407,44.615307757624365,38.892912963795816,17.245271097679755,56.3,4.82
53408951,45.41513063553446,35.98842839051743,18.369616380343746,55.07,7.31
65000228,42.47782831707861,37.14915892103101,21.990467027087416,53.98,7.18
65001891,25.3681234422624,24.455249931450364,15.71663641976659,28.73,5.54
65002231,35.05076158092607,24.95991958863337,15.74167734612856,45.94,4.67
65003102,12.116265910704655,10.337926598724074,6.639012893790267,23.78,6.36
65003175,50.41071393685104,45.92203231933069,30.447720341387896,57.59,8.21
65004669,34.90844414444517,23.20778929153089,35.047169672740544,46.22,6.63
65007036,19.167910338748435,16.463311902836214,10.722316243717016,30.08,6.86
65011155,42.37758838685148,34.58814766760337,28.317962563812266,49.28,4.71
65012662,24.23423342659117,20.331781293711717,11.664047449955785,41.71,5.71
65015026,30.72074953631448,20.319472398688994,13.073555465793737,40.07,7.88
65015739,9.153478866692613,7.53781166354698,5.220470235333596,12.75,4.53
65017058,18.45997941335071,17.699869251681008,14.047019258520823,24.64,5.88
65021124,74.86266500383954,50.32439448878377,33.21496480286014,83.4,18.29
65021169,441.27615752814194,974.5009668753504,174.9817091531444,755.21,18.07
65021964,14.424876256721086,12.644562401983231,7.434813559413976,17.54,3.75
65022302,25.66474728414828,24.16372225173195,15.806457128599808,53.52,13.4
65022501,32.35732772669229,29.560052425403892,18.747828773991753,35.47,4.61
65023781,23.86172169020998,25.601688376347436,21.347590878821176,28.68,5.81
65023784,43.29514080572678,43.229022584336604,32.39971886113539,46.14,7.01
65024185,21.396453647103435,21.205371345779987,18.838056449609848,40.47,7.12
65024487,23.015982935285535,18.668219018305603,11.93085870496369,34.27,11.26
65025443,51.5423543135933,44.06552075358412,31.40319398323531,52.97,9.8
65030697,25.37188078962852,19.36710667962538,32.08687910888325,33.07,7.1
65041990,101.94187764274041,117.88392445926196,169.415172987382,102.33,12.88
65044028,47.77191681866791,40.375441938179755,30.831312758274276,62.31,8.02
65045250,29.667137296273328,27.556699209203124,16.111935672837312,30.64,3.25
65049719,48.94670756621325,47.53650231272922,37.31318698582023,61.39,16.27
67001151,13.613403012516462,13.10446315121425,9.874782311948273,17.45,6.34
67001818,22.36846717454792,20.36287578585679,15.593831021227157,23.01,8.51
67003234,39.59311575617372,32.362105441307236,22.092167877299957,86.2,10.59
67003309,42.27319016649534,7.09341466893032,7.7323432608003975,45.76,13.44
67003694,12.920748806872107,8.833849592026164,6.213278868064364,14.83,5.54
